http://www.w3.org/2000/01/rdf-schema#label,https://www.michaeldebellis.com/climate_obstruction/year,https://www.michaeldebellis.com/climate_obstruction/reporter_info,https://www.michaeldebellis.com/climate_obstruction/status,https://www.michaeldebellis.com/climate_obstruction/case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Complaint to ACCC regarding APPEA,2023,,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","Australia, Australian Competition and Consumer Commission",,"On July 17, 2023, Lock the Gate and Comms Declare jointly submitted a complaint to the Australian Competition and Consumer Commission (ACCC) about representations made by the Australian Petroleum Production and Exploration Association (APPEA) regarding its “future of gas” campaign, alleging that it is in breach of ss 18 and 29 of the Australian Consumer Law. The “future of gas” campaign promotes fossil gas as essential to the transition to a net zero economy without providing information about the role of renewable energy in the transition. Lock the Gate and Comms Declare consider that the campaign is potentially a ‘false and misleading sustainability claim [that] undermine[s] consumer trust in all green claims and reduce[s] confidence in the market’.",Whether APPEA’s representations about the ‘future of gas’ are false and/or misleading.,No case documents are available.,https://climatecasechart.com/non-us-case/complaint-to-accc-regarding-appea/
Public Defender’s Office of the State of Pará vs. RMDLT Property Group and others (Project 997 carbon credits and “forest carbon grabbing”),2023,Public Civil Action (ACP) 0806582-68.2023.8.14.0015,Pending,"Suits against corporations, individuals, Corporations, Carbon credits, Suits against governments, Environmental assessment and permitting, Other projects","Brazil, Pará, Pará State Court","Brazil, ILO Convention 169 (enacted by Decree 5051/2004, Brazil, UN Framework Convention on Climate Change – UNFCCC (enacted by Federal Decree 2652/1998), Brazil, Forest Code (Law 12 651/2012)","On July 24, 2023, the Public Defender's Office of the State of Pará (DPE-PA) filed a Public Civil Action (ACP) with a request for injunctive relief against RMDLT Property Group Ltda, Brazil Property Group Compra, Venda e Locação de Imóvel Ltda, Brazil Agfor LLC, Agfor Empreendimentos Ltda, Michael Edward Greene and the municipality of Portel due to a project that generate illegal carbon credits sold on the voluntary market. This ACP is part of a set of four lawsuits filed by the DPE-PA on the same grounds, but challenging different carbon credit projects. The RMDLT Portel-Pará REDD Project or Rio Mandaquari REDD+ Project (Project 977), which is the object of the lawsuit, overlaps areas of the State Agro-Extractivist Settlement Projects (PEAEX) Deus é Fiel and Joana Peres II - Dorothy Stang. These PEAEXs are public lands whose real right of use is granted to traditional communities located in the municipality of Portel, in the state of Pará, which did not participate in the contested project. Project 977 generates REDD+ assets (credits generated by avoided deforestation, sustainable management and increased forest carbon stocks), was certified by an international company and was established in 2009 to generate carbon credits for forty years. Companies and individuals are sued for being responsible, developers of the project or alleged owners of the rural properties where it is located. The DPE-PA alleges irregularities in the property registrations that make up the enterprise, and that the project does not have authorisation from the state of Pará, which characterises the grabbing of public land. In addition, the mayor of Portel issued a Public Utility Decree authorising its operation, which the DPE-PA argues is unconstitutional. It is emphasised that the project was implemented without a prior technical study. The DPE-PA argues that the defendants acted in violation of the right to traditional territory, the right to prior, free and informed consultation of traditional communities, that they did not comply with federal legislation on climate change, payments for environmental services and public forest concessions and did not benefit the communities directly affected by the project. The plaintiff argues that the defendants' behaviour entails the duty to compensate for collective moral damage. As an injunction, the plaintiff requests (i) recognition of the possession of the lands by the traditional communities; (ii) suspension of Project 997 and an order that the defendants refrain from entering the PEAEX. On the merits, the plaintiff requests (i) confirmation of the requests for an injunction; (ii) recognition of the right to the traditional territory; (iii) the annulment of Project 977 and the legal transactions derived from it; (iv) an order to prohibit the defendants from entering the territories; (v) a declaration that the Public Utility Decree issued by the Municipality of Portel is null and void; (vi) an order to pay collective moral damages in the amount of R$ 5,000,000.00 to be paid into the Eastern Amazon Fund in favour of the communities of the extractivist territories of Portel.",Whether there were established illegal carbon credit projects in extractivist lands areas in the Pará State.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230724_Public-Civil-Action-ACP-0806582-68.2023.8.14.0015-_petition.pdf,https://climatecasechart.com/non-us-case/public-defenders-office-of-the-state-of-para-vs-rmdlt-property-group-and-others-project-997-carbon-credits-and-forest-carbon-grabbing/
"Barbara Metz et al., v. Wintershall Dea AG",2021,,Pending,"Suits against corporations, individuals, Corporations, GHG emissions reduction","Germany, Regional Court of Kassel (Landgericht Kassel)","International Law, UNFCCC, Paris Agreement, Germany, Federal Climate Protection Act of 2019 (KSG)","On October 4, 2021, the plaintiffs Barbara Metz, Sascha Müller-Kraenner, and Jürgen Resch supported by environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany), filed an action against Wintershall Dea AG, a German gas and oil company. Plaintiffs asked the Regional Court of Kassel to order the company to tighten its carbon emissions target and to cease the extraction of natural gas and crude oil both nationally and internationally, both directly or indirectly (through shareholding or other means of corporate participation), by 2025.",Whether Wintershall Dea AG is violating fundamental rights for not adhering to a “fair” carbon budget.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210903_14659_na.docx, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211004_14659_complaint.pdf",https://climatecasechart.com/non-us-case/barbara-metz-et-al-v-wintershall-dea-ag/
Lawyers for Climate Action Complaint to the Advertising Standards Board,2021,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","New Zealand, Advertising Standards Authority Complaints Board","New Zealand, Advertising Standards Code","The campaign group Lawyers for Climate Action NZ filed a complaint against Energy company Firstgas regarding an advertising campaign concerning ""zero carbon gas."" The campaign contained advertisements suggesting that the company was moving towards producing zero carbon gas and that customers could rely on this to reduce their fossil fuel consumption. Part of the campaign read: “New Zealand’s heading towards zero carbon so we’re ensuring our gas is going zero carbon too. You know what that means for you? Absolutely nothing. You can continue doing what you love. And help change the world, without changing too much of yours. Find out more at gasischanging.co.nz.”",Whether ads should be withdrawn because they made unsubstantiated environmental claims,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210706_14297_decision.pdf,https://climatecasechart.com/non-us-case/lawyers-for-climate-action-complaint-to-the-advertising-standards-board/
Ministry of Environment and Forestry v. PT National Sago Prima,2016,Decision Number 591/Pdt.G-LH/2015/PN.Jkt.Sel / Decision Number 540/PDT/2017/PT.DKI,Decided,"Suits against corporations, individuals, Corporations, Climate damage","Indonesia, Jakarta Court of Appeal, Indonesia, District Court of South Jakarta, Indonesia, Supreme Court","Indonesia, Environmental Protection and Management Act 2009","On February 5, 2016, the Indonesian Ministry of Environment and Forestry (the MoEF) sued a sago plantation company, namely PT National Sago Prima, for fires occurring inside its controlled area. The MoEF claimed that the defendant infringed upon various obligations under Indonesian environmental regulation. Firstly, the MoEF argued that the defendant did not have adequate preventive and control system as required in Indonesian forest protection regulation. Secondly, the MoEF found that PT National Sago Prima were running the business without the mandatory Environmental Impact Analysis (Analisis Mengenai Dampak Lingkungan). Hence, the MoEF argued that the defendant had been negligent and therefore is liable for compensation for the damages. The MoEF asked the court to order the defendant to pay IDR 2,430,000,000 for the release of 27.000 tC and IDR 850,500,000 for the losses of carbon sinks.",Whether a sago plantation company is liable for compensation for damage caused by wildfires.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160205_Decision-Number-591Pdt.G-LH2015PN.Jkt_.Sel-Decision-Number-540PDT2017PT.DKI_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20161114_Decision-Number-591Pdt.G-LH2015PN.Jkt_.Sel-Decision-Number-540PDT2017PT.DKI_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180202_Decision-Number-591Pdt.G-LH2015PN.Jkt_.Sel-Decision-Number-540PDT2017PT.DKI_decision-1.pdf",https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-national-sago-prima/
Amberg Corp. and Olga Kiiker,2023,,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","Canada, Alberta Court of Justice",,"In May 2023, Amberg Corp., along with its senior environmental regulatory coordinator, Olga Kiiker, were charged with 25 counts of: false and misleading information, providing functions of a third-party assurance provider without the required qualifications, and failing to comply with the rules and requirements set out in the Standard for Validation, Verification and Audit under the provincial Emissions Management and Climate Resilience Act and the Technology Innovation and Emissions Reduction  Regulation.
In November 2023, Ms. Kiiker pleaded guilty to one count for knowingly providing false and misleading information pursuant to a requirement under the Emissions Management and Climate Resilience Act and all remaining charges against her were withdrawn. Ms. Kiiker was sentenced to pay a $10,000 fine inclusive of the victim surcharge. She is also prohibited from engaging in any employment that may involve collecting, analyzing, reporting, validating, verifying or auditing environmental data for three years and was ordered to prepare an article for publication in the Environmental Services Association of Alberta Weekly News publication in 2024 where she informs the public of the consequences of her mistakes as an environmental services provider.
No conclusion has been reached on the charges against Amberg Corp.",Whether Amberg Corp. and/or Ms. Olga Kiiker failed to comply with the Emissions Management and Climate Resilience Act and the Technology Innovation and Emissions Reduction Regulation.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231121_22479_ruling.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231121_22479_order.pdf",https://climatecasechart.com/non-us-case/amberg-corp-and-olga-kiiker/
"BankTrack, et al. vs. ING Bank",2017,,Decided,"Suits against corporations, individuals, Corporations, Disclosures","OECD, Netherlands National Contact Point","International Law, OECD Guidelines for Multinational Enterprises","BankTrack, Greenpeace Nederland,  Milieudefensie,  Friends of the Earth collectively filed a complaint against ING for failure to commit appropriately to achieving targets under the 2015 Paris Agreement. The complaint alleged that ING had violated environment and consumer interest provisions of the OECD Guidelines by failing to set targets to reduce the emission of greenhouse gases from its financial products. Further, ING had not reported the indirect product emissions of companies and processes that it financed, amounting to a disclosure breach under the guidelines, according to the complaint.",Violation of OECD guidelines on climate change by ING,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170508_11365_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190419_11365_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190419_11365_opinion.pdf",https://climatecasechart.com/non-us-case/banktrack-et-al-vs-ing-bank/
Federal Public Prosecutor’s Office (MPF) v. INEA and Karpowership Brasil Energia Ltda.,2022,ACP n 5020957-93.2022.4.02.5101,Pending,"Suits against governments, Energy and power, Suits against corporations, individuals, Corporations, Environmental assessment and permitting","Brazil, Rio de Janeiro, Rio de Janeiro Federal Court","Brazil, Federal Constitution, art. 225, International Law, UNFCCC, Paris Agreement, Brazil, Complementary Law 140/201, Brazil, PNMC (Federal Law 12 187/2009), Brazil, National Environmental Policy (Federal Law 6 938/81)","On March 25, 2022, the Federal Public Prosecutor’s Office (Minstério Público Federal - MPF) filed a Public Civil Action (environmental class action) against the Rio de Janeiro’s State Environmental Agency (Instituto Estadual do Meio Ambiente – INEA), and the company Karpowership Brasil Energia Ltda. due to alleged irregularities in the environmental licensing process of 36 temporary towers for power transmission lines in Sepetiba Bay, Rio de Janeiro. The plaintiff informs that INEA, when granting the Integrated environmental license disregarded the synergistic and cumulative impacts with the request for a license to install and operate four floating Thermoelectric Plants in the same region, which are part of the same project. It argues that both the temporary towers for power transmission lines and the floating Thermoelectric Plants should be analyzed together and that there was an absence of an Environmental Impact Study/Environmental Impact Report (EIA/RIMA) and of a public hearing with the participation of the local community. The MPF points out that thermoelectric enterprises are generators of Greenhouse Gas (GHG) pollution. For this reason, INEA should require prior studies to assess the contribution of the project to climate change, taking into account the objectives of the National Policy on Climate Change - PNMC (Federal Law 12.189/2009) and the goals assumed by Brazil in the Paris Agreement.It raises the special protection of the Atlantic Forest biome (under Federal Law 11.428/2006) when it comes to suppression of vegetation. The MPF bases its claim on the duty of the Public Authorities to defend and preserve the ecologically balanced environment provided for in article 225 of the Federal Constitution.",Whether the permitting of towers for power transmission lines should be analyzed together with  the project of floating Thermoelectric Plants considering its cumulative and synergic impacts and  its contribution to climate change.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220925_ACP-n-5020957-93.2022.4.02.5101_decision.pdf,https://climatecasechart.com/non-us-case/federal-public-prosecutors-office-mpf-vs-inea-and-karpowership-brasil-energia-ltda/
Kia México v. Procuraduría Federal de Protección al Ambiente (PROFEPA),2022,Contentious Administrative Trial No. 211/22-EAR-01-4,Pending,"Suits against corporations, individuals, Corporations, GHG emissions reduction","Mexico, Federal Tribunal of Administrative Justice","Mexico, Constitution","On January 18, 2022, Kia Motors México, S.A. de C.V. filed a lawsuit against the Procuraduría Federal de Protección al Ambiente (PROFEPA) before the Federal Tribunal of Administrative Justice, contesting a fine PROFEPA imposed on them for non-compliance with the NOM-163-SEMARNAT-ENER-SCFI-2013. In general terms, the NOM-163-SEMARNAT-ENER-SCFI-2013 establishes that, for certain car models, they must obtain a certificate of environmental compliance, and certify that their cars comply with certain carbon dioxide emissions parameters. One of the purposes of this Mexican Official Standard is to prevent atmospheric pollution and thus combat climate change.","Whether Kia Motors México could be sanctioned for non-compliance with the NOM-163-SEMARNAT-ENER-SCFI-2013, under the standards of the right to a healthy environment",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230922_Contentious-Administrative-Trial-No.-21122-EAR-01-4_decision.pdf,https://climatecasechart.com/non-us-case/kia-mexico-v-procuraduria-federal-de-proteccion-al-ambiente-profepa/
IBAMA vs. Minerva Ribeiro de Barros e Genesisagro S/A,2023,ACP nº 1006451-96.2023.4.01.3704,Pending,"Suits against corporations, individuals, Corporations, Climate damage","Brazil, Maranhão, Maranhão Federal Court","Brazil, Federal Constitution, art. 225, Brazil, National Environmental Policy (Federal Law 6 938/81), Brazil, Forest Code (Law 12 651/2012)","On September 11, 2023, Brazil’s Federal Environment Agency (“IBAMA”), filed a public civil action (environmental class-action) against Minerva Ribeiro de Barros e Genesisagro S/A. seeking compensation for environmental and climate damages. The plaintiff claims that 190,960 ha (hectares) of native Cerrado forest were cleared at the Pedra Chata Piranhas farm without prior authorization from the competent environmental agency. It highlights the great importance of the Cerrado and that the advance of illegal deforestation of the biome contributes to the climate crisis. According to remote sensing images, the plaintiff claims that the area continues to be exploited (even though it has been embargoed by IBAMA), without regeneration measures having been adopted. It argues that the defendants are civilly liable for the specific environmental damage caused by the irregular suppression of native forest in the Cerrado and the existence of resulting environmental damage that includes damage to fauna, soil, climate and biodiversity, among other harmful consequences related to deforestation. Several measures to secure the prohibition of further exploitation of the deforested area are requested as an injunction. In a definitive manner, it is requested that the defendants be ordered to (i) recover an area corresponding to the deforested one, (ii) pay collective moral damages in the amount of R$1,442,320.88, (iii) pay for the transitory and residual damage caused to ecological heritage, in addition to compensation for the economic profit obtained illegally, including climate damage.",Restoration for environmental and climate damage caused by deforestation in the Cerrado.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180911_ACP-no-1006451-96.2023.4.01.3704_petition-1.pdf,https://climatecasechart.com/non-us-case/ibama-vs-minerva-ribeiro-de-barros-e-genesisagro-s-a/
ASA Ruling on 4Air LLC,2023,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","United Kingdom, Advertising Standards Authority (ASA)","United Kingdom, UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing","4AIR describes itself as a “sustainability solutions program dedicated to aviation”.
In November 2022, a paid-for Google ad for 4AIR was seen which stated, “Eco-Friendly Aviation – Future of Sustainable Aviation” and “Learn How To Turn Flying Into A Force For Good With A 4AIR Rating. Industry-Leading Standard For Sustainability In Private Aviation. Sustainability. Aviation Industry.”
The Advertising Standards Authority (“ASA”) challenged whether the ad gave a misleading impression of the environmental impact of the service.
By ruling of August 30, 2023, the ASA upheld the challenge.
The CAP Code required that absolute environmental claims be supported by a high level of substantiation.
The claims “Eco-Friendly Aviation”, “Sustainable Aviation” and “Turn Flying Into A Force For Good” would be understood by businesses to mean that 4AIR offered services that could ensure aviation operations did not cause environmental damage. Businesses would also understand from the claims that, by using 4AIR’s services, their business would be capable of having an immediate positive impact on the environment.
The ASA therefore expected to see a high level of evidence that substantiated the claims, taking into account the full life cycle of the products and services associated with 4AIR’s services. Given those services were directly linked with aviation, that that meant the full life cycle of aviation operations, even though 4AIR did not itself operate aircraft.
Aviation, even with the use of Sustainable Aviation Fuel, produced high levels of CO2 and non-CO2 emissions which contributed to climate change. Further, the results of research into future aircraft technologies would not be delivered until decades into the future. Support of such an initiative via 4AIR was not therefore adequate substantiation to evidence the claim “Turn Flying Into A Force For Good” as it would be understood in context.
Further, there were no initiatives or commercially viable technologies within the aviation industry which would adequately substantiate absolute claims such as “Eco-friendly Aviation” and “Sustainable Aviation” as businesses would interpret them in context.
The claims were therefore likely to mislead businesses in relation to 4AIR’s capability to ensure that aviation operations which purchased its services did not negatively impact the environment. The ad therefore breached the Code.
The ASA ruled that the ad must not appear again in the form complained about. The ASA told 4AIR to ensure it did not mislead businesses by understating the environmental impact of their service, including by using absolute claims such as “Eco-Friendly Aviation”, “Sustainable Aviation”, and “Turn Flying Into A Force For Good”.
This Ruling formed part of a wider piece of work on climate change and the environment. The ad was identified for investigation following intelligence gathered by the ASA’s Active Ad Monitoring system, which used AI to proactively search for online ads that might break the rules",Whether a paid-for Google ad for 4AIR LLC misleadingly understated the environmental impact of their service.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230830_21489_decision.pdf,https://climatecasechart.com/non-us-case/asa-ruling-on-4air-llc/
Survival International Italia (on behalf of Ayoreo Totobiegosode Indigenous People) v. Pasubio (Italian company in the leather sector),2022,,Pending,,"OECD, Italy National Contact Point","International Law, OECD Guidelines for Multinational Enterprises","On December 13, 2022, the NGO Survival International filed a complaint with the Italian National Contact Point of the OECD (Organization for Economic Cooperation and Development) arguing that Pasubio – an Italian leather company that supplies renowned automotive firms including BMW and Land Rover – has violated the OECD Guidelines for Multinational Enterprises. Specifically, the complaint alleges that Pasubio is sourcing leather from cattle ranching firms that operate within the forests inhabited by the Ayoreo Totobiegosode in the Gran Chaco area of Paraguay. The Ayoreo Totobiegosode are the only indigenous people living in voluntary isolation in the Americas outside the Amazon rainforest. According to the applicant, the activities of the cattle farms contribute to the deforestation of the Ayoreo lands and the violation of their human rights. Although climate change is not the main issue at the centre of the case, the specific instance explicitly addresses the link between deforestation activity and the climate emergency (p 49). Deforestation affects the natural GHG emissions absorption capacity, accelerating global warming. The complaint also mentions the Glasgow Forest Pledge, under which several multinational companies have pledged to reduce their deforestation impact. The allegations are based on, among other things, two reports by the NGO Earthsight.","Whether Pasubio violated the OECD Guidelines by sourcing leather from cattle farms operating in Ayoreo lands, contributing to their illegal deforestation.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221213_22209_complaint.pdf,https://climatecasechart.com/non-us-case/survival-international-italia-on-behalf-of-ayoreo-totobiegosode-indigenous-people-v-pasubio-italian-company-in-the-leather-sector/
Deutsche Umwelthilfe v. Barilla Deutschland GmbH,2024,LG Köln: 81 O 16/24,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Regional Court of Cologne","Germany, The Act against Unfair Competition","The lawsuit is directed against the company ""Barilla Deutschland GmbH."" The company is accused of making misleading advertising claims that one of its products (""WASA"") is CO2-neutral.","Whether advertising claims around ""climate neutrality"" are misleading and in breach of the German Act against Unfair Competition",No case documents are available.,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-v-barilla-deutschland-gmbh/
"Federal Environment Agency (“IBAMA”) v. Indústria, Comércio e Exportação de Madeiras Floresta Verde Ltda.",2019,1000083-80.2019.4.01.3908,Pending,"Suits against corporations, individuals, Corporations, Climate damage","Brazil, Pará, Pará Federal Court","Brazil, Federal Constitution, art. 225, Brazil, National Environmental Policy (Federal Law 6 938/81)","On February 4, 2019, Brazil’s Federal Environment Agency (“IBAMA”), filed a public civil action (environmental class-action) against Indústria, Comércio e Exportação de Madeiras Floresta Verde Ltda. seeking compensation for environmental and climate damages based on an infringement notice for illegal wood storage without an environmental license.",The quantification of the climate and environment damage in the civil liability for the illegal wood storage.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190204_1000083-80.2019.4.01.3908_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190508_1000083-80.2019.4.01.3908_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190906_1000083-80.2019.4.01.3908_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200325_1000083-80.2019.4.01.3908_decision.pdf",https://climatecasechart.com/non-us-case/federal-environment-agency-ibama-v-industria-comercio-e-exportacao-de-madeiras-floresta-verde-ltda/
Public Prosecutor’s Office v. H Carlos Schneider S/A Comércio e Indústria & Others,2007,Special Appeal No. 650.728 - SC,Decided,,"Brazil, Superior Court of Justice","Brazil, National Environmental Policy Act (Law No. 6.938 of 1981)","The trial court was persuaded by the Federal Prosecutor, who had filed a civil proceeding against the group responsible for draining and clearing a mangrove forest and putting a landfill and various structures in its place. The Forest Code of 1965 and article 225 of the Federal Constitution of 1988 provided the legal basis for the court's decision. Before ordering the defendants to restore the forest, the court noted that mangroves serve a variety of functions--ecological, social, and economic--and that sea level rise makes it especially important to preserve them. The trial court's decision was upheld by the Regional Federal Court of the Fourth Region, and upheld again by the Superior Court of Justice.","Declaration of illegality of, and injunction to correct, destruction of mangrove area for use as landfill and development site","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091202_Special-Appeal-No.-650.728-SC_ruling-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091202_Special-Appeal-No.-650.728-SC_na-1.pdf",https://climatecasechart.com/non-us-case/public-prosecutors-office-v-h-carlos-schneider-sa-comercio-e-industria-others/
Deutsche Umwelthilfe v. TotalEnergies Wärme & Kraftstoff Deutschland GmbH,2022,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Düsseldorf, Regional Court of Düsseldorf","Germany, The Act against Unfair Competition","In 2022, Deutsche Umwelthilfe (DUH) filed legal action against TotalEnergies due to an advertising statement concerning ""CO2-compensated heating oil."" TotalEnergies claimed to offset the CO2 emissions of the oil as part of its climate plan. DUH argued that this advertising claim constituted misleading commercial practices, and was thus in breach of article 5a of the Act Against Unfair Competition. First, DUH criticized that the measures implemented to achieve the alleged climate neutrality of the advertised oil were insufficiently presented. Second, DUH criticized the offsetting measures to reach CO2 neutrality, namely, the purchase of emission credits for a forest protection project in the Madre de Dios region, Peru (ClimatePartner Tambopata forest protection project). This case is part of a series of DUH legal proceedings concerning climate neutrality advertising promises.","Whether advertising of ""CO2-compensated heating oil"" is in breach of German competition law.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230118_19332_na.pdf,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-v-totalenergies-warmekraftstoff-deutschland-gmbh/
Milieudefensie et al. v. Royal Dutch Shell plc.,2019,,Pending,"Suits against corporations, individuals, Corporations, GHG emissions reduction","Netherlands, The Hague, Court of Appeals, Netherlands, The Hague, District Court","Netherlands, Civil Code, International Law, European Convention on Human Rights","On April 5th, 2019, the environmental group Milieudefensie/Friends of the Earth Netherlands and co-plaintiffs served Shell a court summons alleging Shell’s contributions to climate change violate its duty of care under Dutch law and human rights obligations. The case was filed in the Hague District Court. Co-plaintiffs include other NGOs (ActionAid NL, Both ENDS, Fossielvrij NL, Greenpeace NL, Young Friends of the Earth NL, Waddenvereniging) and more than 17000 citizens. The plaintiffs seek a ruling from the court that Shell must reduce its CO2 emissions by 45% by 2030 compared to 2010 levels and to zero by 2050, in line with the Paris Climate Agreement.",Whether a private company violated a duty of care and human rights obligations by failing to take adequate action to curb contributions to climate change,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190405_8918_summons.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190405_8918_press-release.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20191113_8918_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210526_8918_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210526_8918_judgment-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220425_8918_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221018_8918_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20241112_8918_judgment.pdf",https://climatecasechart.com/non-us-case/milieudefensie-et-al-v-royal-dutch-shell-plc/
ClientEarth and others v. Flemish Region,2022,,Decided,"Suits against governments, Trade and Investment, Environmental permitting, Suits against corporations, individuals, Corporations, Environmental assessment and permitting","Belgium, Flanders, Environmental Ministry of Flanders",,"In 2021, Flemish authorities announced their approval of petrochemicals giant INEOS’ plastics plant project ('Project One') in the Port of Antwerp, Belgium.",Whether the approval by the Flemish authorities of INEOS' Project One is illegal under EU and Belgium laws due to INEOS' inadequate assessment of how the project would impact the climate.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230720_17697_press-release-1.pdf,https://climatecasechart.com/non-us-case/clientearth-v-flemish-region/
Ministry of Environment and Forestry v. PT Bumi Mekar Hijau,2015,Decision Number 24/Pdt.G/2015/PN.Plg,Decided,"Suits against corporations, individuals, Corporations, Climate damage","Indonesia, Palembang Court of Appeal","Indonesia, Environmental Law No.32 of 2009","On February 3, 2015, the Indonesian Ministry of Environment and Forestry (the MoEF) filed a tort-based lawsuit against PT Bumi Mekar Hijau for intentionally causing fires to the peatlands. The MoEF argued that the defendant had intentionally burn the peatlands area to clear the land for timber planting purposes. Thus, the MoEF requested the court to declare that defendant liable for damages amounting to IDR 5.299 trillion and restoration costs for IDR 2.687 trillion. With damages and restoration cost amounting almost to IDR 8 trillion, this lawsuit is ranked among the highest damages in Indonesian forest fires litigation. In relation to climate damages, the MoEF argued that fires on the peatlands had caused in the release of 135,000 tC and 5,670 tCO2. The MoEF set the price for reduction and restoration of carbon on IDR 90,000. Hence, the total of restoration costs for the release of Carbon and Carbon Dioxide, respectively, were IDR 12.2 billion and IDR 4.3 billion.",Restoration for climate damage caused by palm plantation land clearing.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20150203_Decision-Number-24Pdt.G2015PN.Plg_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160212_Decision-Number-24Pdt.G2015PN.Plg_decision.pdf",https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-bumi-mekar-hijau/
Norwegian Climate Network et al vs Statoil,2011,,Decided,"Suits against corporations, individuals, Corporations, Disclosures","OECD, Norway National Contact Point","International Law, OECD Guidelines for Multinational Enterprises",Norwegian Climate Network and Concerned Scientists Norway filed a complaint alleging that Statoil ASA was in breach of the OECD guidelines owing to its investment in the oil sands in Alberta. The complaint alleged that this contributed to the violation of international obligations undertaken by Canada to reduce greenhouse gas emissions between 2008 and 2012. It was asserted that the oil sands in Canada must not be exploited in an effort to achieve climate stability.,Effect of Statoil’s investment in oil sands project in maintaining climate stability,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120313_11368_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111128_11368_complaint.pdf",https://climatecasechart.com/non-us-case/norwegian-climate-network-et-al-vs-statoil/
